YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2000, Mures,528.0,2825.0,3920.0,18.0,23.0,499.0,193.0,7.8,6.4,899,8573.0,4.0,7.0
 Anul 2001, Mures,431.0,2679.0,3670.0,14.0,21.0,446.0,209.0,6.8,5.2,899,8646.0,0.0,7.0
 Anul 2002, Mures,454.0,2623.0,3543.0,13.0,20.0,512.0,199.0,7.6,5.1,892,8468.0,4.0,7.0
 Anul 2003, Mures,510.0,2704.0,3541.0,15.0,18.0,534.0,223.0,7.2,6.0,896,8531.0,1.0,6.0
 Anul 2004, Mures,772.0,3120.0,3304.0,18.0,17.0,611.0,243.0,4.6,4.2,700,8578.0,3.0,6.0
 Anul 2005, Mures,435.0,3283.0,3284.0,16.0,18.0,526.0,215.0,4.9,4.3,698,8450.0,1.0,6.0
 Anul 2006, Mures,486.0,3301.0,3091.0,20.0,28.0,561.0,198.0,5.6,4.8,308,8519.0,5.0,6.0
 Anul 2007, Mures,277.0,3092.0,3215.0,16.0,19.0,545.0,239.0,4.4,4.1,262,8377.0,0.0,8.0
 Anul 2008, Mures,255.0,3231.0,3439.0,15.0,11.0,590.0,290.0,4.7,4.6,263,8451.0,1.0,9.0
 Anul 2009, Mures,268.0,3127.0,3324.0,17.0,20.0,514.0,214.0,8.4,7.6,266,8470.0,1.0,9.0
 Anul 2010, Mures,222.0,2997.0,3116.0,7.0,16.0,603.0,261.0,8.4,7.5,255,7953.0,3.0,14.0
 Anul 2011, Mures,376.0,2797.0,3057.0,6.0,4.0,513.0,258.0,6.3,5.6,222,7708.0,0.0,13.0
 Anul 2012, Mures,299.0,2691.0,3090.0,11.0,18.0,520.0,240.0,6.5,5.5,214,7533.0,0.0,13.0
 Anul 2013, Mures,339.0,2871.0,3186.0,12.0,25.0,372.0,204.0,5.8,5.1,193,7721.0,0.0,15.0
 Anul 2014, Mures,254.0,2681.0,3136.0,25.0,20.0,416.0,207.0,6.3,5.1,189,7485.0,0.0,15.0
 Anul 2015, Mures,278.0,2664.0,3247.0,22.0,11.0,452.0,233.0,5.1,4.4,189,7175.0,0.0,15.0
 Anul 2016, Mures,435.0,2761.0,3228.0,11.0,17.0,435.0,272.0,4.9,4.4,185,7211.0,1.0,16.0
 Anul 2017, Mures,415.0,2956.0,3267.0,12.0,19.0,420.0,261.0,4.4,3.5,187,7196.0,1.0,15.0
 Anul 2018, Mures,511.0,2857.0,3147.0,26.0,22.0,412.0,299.0,3.2,2.8,186,7275.0,0.0,15.0
 Anul 2019, Mures,453.0,2683.0,3161.0,10.0,13.0,447.0,306.0,2.7,2.7,188,7332.0,0.0,14.0
 Anul 2020, Mures,355.0,2655.0,3227.0,11.0,21.0,340.0,244.0,2.5,3.0,187,7355.0,0.0,15.0
 Anul 2021, Mures,598.0,2456.0,3118.0,16.0,21.0,438.0,327.0,2.3,2.7,189,7539.0,0.0,16.0
 Anul 1992, Neamt,132.0,2429.0,5326.0,30.0,38.0,420.0,195.0,9.6,15.9,796,6957.0,3.0,6.0
 Anul 1993, Neamt,94.0,2307.0,5299.0,20.0,36.0,319.0,172.0,13.5,21.9,807,7175.0,0.0,6.0
 Anul 1994, Neamt,139.0,2221.0,5043.0,18.0,33.0,458.0,325.0,14.6,20.2,828,7441.0,3.0,5.0
 Anul 1995, Neamt,194.0,2171.0,4839.0,16.0,24.0,519.0,370.0,15.6,19.2,833,7682.0,1.0,5.0
 Anul 1996, Neamt,234.0,2056.0,4571.0,15.0,26.0,610.0,368.0,12.9,13.3,838,7697.0,1.0,5.0
 Anul 1997, Neamt,274.0,2114.0,4693.0,12.0,22.0,524.0,362.0,14.3,15.3,755,7267.0,7.0,5.0
 Anul 1998, Neamt,235.0,2196.0,4692.0,20.0,20.0,481.0,382.0,15.2,17.5,812,7277.0,11.0,5.0
 Anul 1999, Neamt,192.0,2210.0,4803.0,17.0,35.0,412.0,327.0,18.1,17.4,773,7209.0,18.0,5.0
 Anul 2000, Neamt,339.0,2079.0,4745.0,12.0,34.0,445.0,331.0,16.3,16.9,495,6943.0,1.0,5.0
 Anul 2001, Neamt,376.0,1858.0,4269.0,22.0,36.0,614.0,366.0,14.8,13.5,481,6995.0,1.0,5.0
 Anul 2002, Neamt,313.0,1798.0,4025.0,10.0,32.0,647.0,356.0,11.2,10.1,428,6437.0,1.0,5.0
 Anul 2003, Neamt,294.0,1834.0,3882.0,7.0,30.0,612.0,385.0,9.4,6.9,249,6429.0,2.0,5.0
 Anul 2004, Neamt,374.0,2089.0,3891.0,19.0,29.0,771.0,385.0,8.5,5.7,250,6293.0,0.0,6.0
 Anul 2005, Neamt,533.0,2243.0,3622.0,13.0,27.0,864.0,342.0,6.5,4.6,231,6293.0,0.0,7.0
 Anul 2006, Neamt,741.0,2281.0,3650.0,11.0,29.0,773.0,347.0,5.6,4.2,167,6081.0,0.0,7.0
 Anul 2007, Neamt,422.0,2184.0,3358.0,6.0,20.0,721.0,345.0,3.8,3.8,164,5990.0,0.0,7.0
 Anul 2008, Neamt,319.0,2129.0,3495.0,4.0,18.0,772.0,474.0,4.1,4.0,164,5866.0,0.0,7.0
 Anul 2009, Neamt,287.0,2092.0,3318.0,7.0,15.0,650.0,525.0,9.0,6.8,179,5705.0,2.0,7.0
 Anul 2010, Neamt,220.0,2031.0,3161.0,6.0,15.0,578.0,502.0,8.5,6.9,172,5366.0,1.0,7.0
 Anul 2011, Neamt,345.0,1722.0,2914.0,4.0,24.0,664.0,540.0,5.6,4.8,157,5370.0,2.0,5.0
 Anul 2012, Neamt,361.0,1885.0,3141.0,5.0,14.0,516.0,415.0,6.1,4.7,153,5314.0,0.0,5.0
 Anul 2013, Neamt,326.0,2191.0,3667.0,7.0,19.0,478.0,399.0,7.1,5.2,149,5190.0,0.0,5.0
 Anul 2014, Neamt,289.0,1845.0,3236.0,2.0,16.0,434.0,360.0,6.8,5.3,148,5205.0,0.0,5.0
 Anul 2015, Neamt,375.0,1787.0,3169.0,7.0,7.0,397.0,360.0,6.8,5.3,147,4930.0,0.0,5.0
 Anul 2016, Neamt,608.0,1807.0,3142.0,3.0,19.0,448.0,336.0,6.6,5.5,144,4857.0,1.0,5.0
 Anul 2017, Neamt,578.0,1823.0,3169.0,9.0,12.0,533.0,392.0,5.4,4.5,138,4810.0,0.0,5.0
 Anul 2018, Neamt,703.0,1937.0,3022.0,2.0,10.0,467.0,434.0,4.9,4.2,138,4681.0,0.0,7.0
 Anul 2019, Neamt,772.0,1916.0,3066.0,5.0,14.0,443.0,383.0,4.3,3.8,138,4600.0,0.0,7.0
 Anul 2020, Neamt,559.0,1657.0,2926.0,4.0,13.0,291.0,333.0,4.8,5.3,140,4640.0,0.0,7.0
 Anul 2021, Neamt,891.0,1531.0,2734.0,6.0,7.0,250.0,283.0,4.3,4.5,143,4629.0,0.0,7.0
 Anul 1992, Olt,57.0,2287.0,3796.0,17.0,19.0,215.0,146.0,7.4,10.2,764,5830.0,2.0,8.0
 Anul 1993, Olt,19.0,2212.0,3832.0,17.0,16.0,262.0,189.0,11.1,12.3,766,5901.0,6.0,8.0
 Anul 1994, Olt,38.0,2197.0,3564.0,12.0,15.0,354.0,255.0,13.1,10.7,777,5950.0,3.0,8.0
 Anul 1995, Olt,69.0,2098.0,3469.0,5.0,13.0,312.0,228.0,7.6,9.6,781,6167.0,5.0,8.0
 Anul 1996, Olt,51.0,2125.0,3442.0,9.0,8.0,264.0,184.0,4.2,4.6,785,6266.0,0.0,7.0
 Anul 1997, Olt,102.0,2014.0,3527.0,2.0,8.0,381.0,296.0,8.3,8.1,759,6149.0,1.0,7.0
 Anul 1998, Olt,84.0,2107.0,3396.0,13.0,10.0,316.0,263.0,10.2,9.3,761,6334.0,2.0,7.0
 Anul 1999, Olt,56.0,1979.0,3326.0,15.0,7.0,313.0,182.0,11.5,10.1,646,6107.0,11.0,7.0
 Anul 2000, Olt,96.0,1979.0,3119.0,5.0,7.0,247.0,188.0,10.7,8.1,549,6284.0,3.0,7.0
 Anul 2001, Olt,47.0,1841.0,2803.0,5.0,5.0,259.0,172.0,8.8,5.8,560,6250.0,3.0,7.0
 Anul 2002, Olt,20.0,1729.0,2480.0,2.0,2.0,275.0,214.0,11.7,7.8,557,5842.0,1.0,7.0
 Anul 2003, Olt,43.0,1825.0,2503.0,6.0,6.0,251.0,179.0,12.9,8.0,465,5515.0,2.0,6.0
 Anul 2004, Olt,46.0,1741.0,2386.0,7.0,10.0,240.0,185.0,9.4,5.8,442,5693.0,1.0,6.0
 Anul 2005, Olt,58.0,1871.0,2242.0,13.0,8.0,337.0,263.0,8.6,5.5,480,5666.0,1.0,6.0
 Anul 2006, Olt,77.0,1860.0,2158.0,7.0,8.0,367.0,256.0,7.7,5.1,176,5746.0,1.0,6.0
 Anul 2007, Olt,59.0,1711.0,2045.0,2.0,3.0,380.0,251.0,5.3,4.2,185,5645.0,0.0,6.0
 Anul 2008, Olt,63.0,1865.0,2039.0,3.0,5.0,414.0,297.0,5.7,4.9,189,5662.0,2.0,6.0
 Anul 2009, Olt,76.0,1891.0,2080.0,3.0,6.0,348.0,272.0,10.7,6.8,187,5235.0,0.0,6.0
 Anul 2010, Olt,62.0,1764.0,1851.0,3.0,4.0,357.0,286.0,9.6,6.6,187,4876.0,2.0,6.0
 Anul 2011, Olt,122.0,1644.0,1712.0,6.0,4.0,330.0,253.0,7.9,5.8,176,5099.0,0.0,6.0
 Anul 2012, Olt,195.0,1627.0,1820.0,0.0,6.0,257.0,233.0,9.0,6.3,176,4817.0,0.0,6.0
 Anul 2013, Olt,210.0,1707.0,1791.0,4.0,5.0,238.0,197.0,9.9,6.4,175,4865.0,0.0,5.0
 Anul 2014, Olt,162.0,1547.0,1874.0,2.0,5.0,230.0,196.0,9.7,6.6,167,4611.0,0.0,5.0
 Anul 2015, Olt,190.0,1612.0,1716.0,1.0,3.0,221.0,272.0,9.4,6.7,165,4430.0,0.0,5.0
 Anul 2016, Olt,266.0,1667.0,1770.0,6.0,1.0,253.0,223.0,10.2,8.0,165,4242.0,0.0,5.0
 Anul 2017, Olt,242.0,1674.0,1847.0,3.0,2.0,258.0,256.0,8.0,6.8,163,4302.0,0.0,5.0
 Anul 2018, Olt,358.0,1752.0,1757.0,4.0,5.0,280.0,285.0,6.8,5.6,162,4090.0,0.0,5.0
 Anul 2019, Olt,289.0,1728.0,1778.0,2.0,6.0,222.0,296.0,5.7,5.2,161,3998.0,1.0,5.0
 Anul 2020, Olt,235.0,1573.0,1691.0,6.0,4.0,109.0,134.0,5.9,5.9,161,4043.0,0.0,6.0
 Anul 2021, Olt,400.0,1456.0,1735.0,4.0,2.0,231.0,300.0,5.8,6.1,162,4026.0,0.0,6.0
 Anul 1992, Prahova,285.0,4219.0,5003.0,33.0,27.0,1149.0,489.0,3.0,8.3,942,8952.0,3.0,16.0
 Anul 1993, Prahova,180.0,4057.0,5048.0,27.0,28.0,1147.0,558.0,4.1,12.0,943,8998.0,10.0,16.0
 Anul 1994, Prahova,238.0,3816.0,4881.0,23.0,25.0,1417.0,666.0,5.6,15.1,941,9387.0,4.0,16.0
 Anul 1995, Prahova,445.0,3543.0,4641.0,30.0,27.0,1144.0,544.0,5.8,12.7,937,9539.0,6.0,16.0
 Anul 1996, Prahova,461.0,3674.0,4432.0,18.0,26.0,1232.0,601.0,3.6,7.8,925,9831.0,14.0,16.0
 Anul 1997, Prahova,342.0,3785.0,4556.0,23.0,27.0,875.0,489.0,8.5,11.2,913,9459.0,6.0,16.0
 Anul 1998, Prahova,275.0,3712.0,4399.0,26.0,28.0,1025.0,540.0,11.8,14.2,896,9395.0,11.0,16.0
 Anul 1999, Prahova,208.0,3562.0,4292.0,22.0,41.0,1176.0,532.0,14.3,15.4,833,9018.0,22.0,16.0
 Anul 2000, Prahova,359.0,3785.0,4566.0,26.0,36.0,738.0,348.0,12.8,14.3,834,8792.0,6.0,17.0
 Anul 2001, Prahova,255.0,3590.0,4182.0,27.0,32.0,602.0,353.0,9.7,10.8,834,8844.0,8.0,17.0
 Anul 2002, Prahova,153.0,3451.0,4035.0,34.0,34.0,1022.0,505.0,9.8,10.8,817,8445.0,2.0,18.0
 Anul 2003, Prahova,228.0,3491.0,4098.0,19.0,35.0,956.0,466.0,10.6,9.2,810,8452.0,11.0,16.0
 Anul 2004, Prahova,235.0,3778.0,4081.0,29.0,33.0,992.0,561.0,7.0,6.3,691,8750.0,3.0,14.0
 Anul 2005, Prahova,169.0,3931.0,4299.0,22.0,27.0,929.0,453.0,6.6,5.9,685,8643.0,5.0,15.0
 Anul 2006, Prahova,272.0,3915.0,4012.0,22.0,19.0,881.0,432.0,5.2,5.0,345,8439.0,5.0,15.0
 Anul 2007, Prahova,190.0,3660.0,3910.0,20.0,29.0,1023.0,550.0,3.5,4.2,298,8334.0,4.0,16.0
 Anul 2008, Prahova,203.0,3823.0,3723.0,13.0,20.0,1067.0,583.0,3.2,4.7,297,8295.0,4.0,16.0
 Anul 2009, Prahova,230.0,3879.0,3993.0,20.0,27.0,1005.0,589.0,9.1,8.6,292,8130.0,3.0,16.0
 Anul 2010, Prahova,176.0,3604.0,3568.0,16.0,26.0,897.0,492.0,8.5,8.7,279,7907.0,9.0,16.0
 Anul 2011, Prahova,297.0,3243.0,3261.0,13.0,32.0,908.0,510.0,5.5,5.9,240,7509.0,1.0,16.0
 Anul 2012, Prahova,413.0,3225.0,3316.0,14.0,25.0,642.0,438.0,5.5,5.8,241,7581.0,3.0,18.0
 Anul 2013, Prahova,409.0,3338.0,3344.0,16.0,15.0,632.0,456.0,6.0,5.6,240,7400.0,1.0,21.0
 Anul 2014, Prahova,283.0,3344.0,3293.0,17.0,21.0,638.0,447.0,5.2,5.3,238,7198.0,2.0,22.0
 Anul 2015, Prahova,413.0,3466.0,3401.0,14.0,19.0,668.0,485.0,4.3,4.2,239,7080.0,0.0,22.0
 Anul 2016, Prahova,643.0,3358.0,3402.0,17.0,16.0,688.0,499.0,4.5,4.0,237,7048.0,1.0,24.0
 Anul 2017, Prahova,606.0,3434.0,3403.0,12.0,11.0,679.0,531.0,3.0,3.2,236,7076.0,2.0,24.0
 Anul 2018, Prahova,762.0,3291.0,3434.0,12.0,13.0,681.0,590.0,2.3,3.1,234,7098.0,3.0,25.0
 Anul 2019, Prahova,667.0,3056.0,3390.0,16.0,14.0,715.0,596.0,2.1,2.9,232,6975.0,1.0,26.0
 Anul 2020, Prahova,499.0,2790.0,3236.0,8.0,12.0,439.0,401.0,2.4,3.7,236,6960.0,0.0,26.0
 Anul 2021, Prahova,839.0,2723.0,3252.0,10.0,10.0,475.0,529.0,1.9,2.7,235,7053.0,0.0,25.0
 Anul 1992, Satu Mare,1338.0,1887.0,3212.0,17.0,26.0,344.0,98.0,7.5,10.1,605,5429.0,0.0,6.0
 Anul 1993, Satu Mare,665.0,1806.0,3008.0,20.0,35.0,387.0,124.0,7.7,11.2,605,5489.0,3.0,6.0
 Anul 1994, Satu Mare,806.0,1685.0,2873.0,18.0,36.0,383.0,164.0,7.0,9.8,606,5575.0,1.0,6.0
 Anul 1995, Satu Mare,871.0,1548.0,2686.0,15.0,19.0,407.0,160.0,5.6,7.5,604,5698.0,1.0,6.0
 Anul 1996, Satu Mare,868.0,1580.0,2693.0,12.0,27.0,494.0,180.0,4.1,5.4,622,5850.0,2.0,6.0
 Anul 1997, Satu Mare,708.0,1568.0,2724.0,17.0,29.0,497.0,179.0,5.4,4.0,590,5471.0,1.0,6.0
 Anul 1998, Satu Mare,497.0,1642.0,2691.0,16.0,28.0,504.0,183.0,6.1,4.6,605,5510.0,2.0,6.0
 Anul 1999, Satu Mare,344.0,1463.0,2578.0,15.0,28.0,447.0,193.0,7.7,4.8,562,5324.0,3.0,6.0
 Anul 2000, Satu Mare,544.0,1624.0,2616.0,23.0,25.0,441.0,151.0,5.6,3.4,512,5010.0,0.0,6.0
 Anul 2001, Satu Mare,267.0,1486.0,2419.0,21.0,19.0,497.0,219.0,3.9,2.3,517,5194.0,3.0,6.0
 Anul 2002, Satu Mare,245.0,1440.0,2395.0,24.0,35.0,565.0,316.0,4.5,3.5,501,4797.0,7.0,6.0
 Anul 2003, Satu Mare,322.0,1484.0,2480.0,12.0,28.0,507.0,277.0,3.5,2.2,505,4835.0,3.0,6.0
 Anul 2004, Satu Mare,463.0,1641.0,2425.0,10.0,22.0,480.0,283.0,2.6,1.4,241,4836.0,2.0,5.0
 Anul 2005, Satu Mare,338.0,1750.0,2383.0,14.0,19.0,469.0,263.0,4.0,2.7,149,4742.0,1.0,5.0
 Anul 2006, Satu Mare,398.0,1687.0,2155.0,10.0,15.0,432.0,223.0,4.1,2.7,145,4715.0,2.0,5.0
 Anul 2007, Satu Mare,188.0,1826.0,2097.0,8.0,18.0,538.0,238.0,3.1,2.1,145,4651.0,1.0,5.0
 Anul 2008, Satu Mare,208.0,1942.0,2196.0,3.0,16.0,434.0,243.0,3.3,2.6,147,4681.0,0.0,5.0
 Anul 2009, Satu Mare,158.0,1766.0,2055.0,9.0,22.0,402.0,165.0,7.3,5.5,154,4592.0,1.0,5.0
 Anul 2010, Satu Mare,155.0,1636.0,1982.0,5.0,18.0,460.0,249.0,7.2,4.8,141,4295.0,0.0,5.0
 Anul 2011, Satu Mare,296.0,1525.0,1903.0,10.0,21.0,355.0,220.0,5.3,3.9,142,4053.0,0.0,5.0
 Anul 2012, Satu Mare,254.0,1514.0,1953.0,5.0,12.0,366.0,200.0,5.7,4.0,139,4148.0,0.0,5.0
 Anul 2013, Satu Mare,273.0,1656.0,2263.0,4.0,19.0,349.0,166.0,5.3,3.8,140,4220.0,0.0,5.0
 Anul 2014, Satu Mare,218.0,1625.0,2050.0,6.0,6.0,327.0,169.0,4.9,3.8,143,4038.0,0.0,5.0
 Anul 2015, Satu Mare,410.0,1548.0,2042.0,10.0,13.0,431.0,249.0,4.4,3.6,144,4022.0,0.0,5.0
 Anul 2016, Satu Mare,447.0,1566.0,2180.0,12.0,24.0,371.0,210.0,4.6,3.6,139,3928.0,1.0,6.0
 Anul 2017, Satu Mare,433.0,1668.0,2260.0,7.0,10.0,356.0,220.0,3.5,2.9,136,3934.0,0.0,6.0
 Anul 2018, Satu Mare,479.0,1503.0,2187.0,4.0,9.0,330.0,224.0,2.7,2.5,133,3876.0,1.0,6.0
 Anul 2019, Satu Mare,499.0,1546.0,2230.0,5.0,10.0,323.0,240.0,2.6,2.4,131,3881.0,1.0,6.0
 Anul 2020, Satu Mare,284.0,1400.0,2138.0,6.0,14.0,241.0,147.0,3.7,3.8,131,3806.0,0.0,6.0
 Anul 2021, Satu Mare,510.0,1254.0,1959.0,7.0,13.0,317.0,182.0,3.6,3.6,130,3838.0,0.0,6.0
 Anul 1992, Salaj,267.0,1510.0,1852.0,11.0,18.0,138.0,52.0,8.1,13.4,521,3591.0,0.0,5.0
 Anul 1993, Salaj,127.0,1411.0,1877.0,17.0,20.0,171.0,56.0,11.0,14.3,526,3606.0,7.0,5.0
 Anul 1994, Salaj,111.0,1292.0,1933.0,10.0,27.0,234.0,60.0,10.6,12.8,537,3634.0,8.0,4.0
 Anul 1995, Salaj,225.0,1261.0,1780.0,10.0,12.0,176.0,95.0,9.1,11.6,534,3736.0,9.0,4.0
 Anul 1996, Salaj,166.0,1164.0,1726.0,16.0,9.0,187.0,86.0,6.6,8.9,538,3808.0,3.0,4.0
 Anul 1997, Salaj,175.0,1170.0,1812.0,9.0,12.0,213.0,97.0,9.5,10.4,527,3743.0,3.0,4.0
 Anul 1998, Salaj,163.0,1154.0,1840.0,19.0,18.0,215.0,106.0,13.1,14.0,540,3812.0,6.0,4.0
 Anul 1999, Salaj,107.0,1152.0,1805.0,11.0,16.0,188.0,87.0,13.0,13.2,512,3694.0,6.0,4.0
 Anul 2000, Salaj,139.0,1074.0,1868.0,9.0,26.0,184.0,77.0,10.5,9.6,506,3658.0,2.0,4.0
 Anul 2001, Salaj,132.0,1012.0,1686.0,5.0,15.0,170.0,99.0,8.4,9.6,512,3647.0,3.0,4.0
 Anul 2002, Salaj,125.0,1037.0,1679.0,8.0,19.0,180.0,100.0,8.8,5.8,508,3501.0,1.0,4.0
 Anul 2003, Salaj,100.0,947.0,1639.0,6.0,15.0,214.0,103.0,8.4,6.2,161,3450.0,1.0,5.0
 Anul 2004, Salaj,122.0,1040.0,1534.0,8.0,8.0,173.0,98.0,6.9,5.3,160,3486.0,2.0,6.0
 Anul 2005, Salaj,78.0,1122.0,1522.0,5.0,18.0,147.0,109.0,7.0,5.0,153,3410.0,1.0,6.0
 Anul 2006, Salaj,80.0,1092.0,1497.0,10.0,17.0,170.0,103.0,7.6,4.8,153,3396.0,2.0,6.0
 Anul 2007, Salaj,39.0,1024.0,1490.0,4.0,20.0,153.0,127.0,4.6,4.2,131,3364.0,1.0,6.0
 Anul 2008, Salaj,67.0,1120.0,1607.0,7.0,12.0,170.0,91.0,5.9,5.1,135,3361.0,2.0,6.0
 Anul 2009, Salaj,58.0,1046.0,1507.0,7.0,17.0,212.0,135.0,11.3,9.2,133,3291.0,0.0,7.0
 Anul 2010, Salaj,61.0,1055.0,1480.0,9.0,11.0,201.0,134.0,9.3,7.4,119,3101.0,1.0,8.0
 Anul 2011, Salaj,107.0,1012.0,1441.0,6.0,14.0,192.0,135.0,7.0,5.9,109,3079.0,0.0,6.0
 Anul 2012, Salaj,102.0,1101.0,1475.0,3.0,18.0,209.0,154.0,7.0,5.3,97,2956.0,2.0,6.0
 Anul 2013, Salaj,120.0,1134.0,1568.0,6.0,29.0,166.0,137.0,7.0,5.4,113,2998.0,1.0,6.0
 Anul 2014, Salaj,64.0,1089.0,1470.0,7.0,10.0,156.0,118.0,6.6,5.0,113,2833.0,0.0,6.0
 Anul 2015, Salaj,69.0,1106.0,1513.0,5.0,9.0,211.0,147.0,6.0,4.7,113,2707.0,0.0,6.0
 Anul 2016, Salaj,132.0,1150.0,1458.0,6.0,7.0,168.0,141.0,6.1,4.3,114,2665.0,0.0,6.0
 Anul 2017, Salaj,117.0,1123.0,1537.0,5.0,14.0,188.0,133.0,5.1,4.2,111,2642.0,0.0,6.0
 Anul 2018, Salaj,166.0,1133.0,1476.0,8.0,6.0,216.0,147.0,4.8,4.1,111,2610.0,0.0,6.0
 Anul 2019, Salaj,153.0,1126.0,1515.0,5.0,11.0,178.0,146.0,4.3,4.1,111,2623.0,0.0,6.0
 Anul 2020, Salaj,130.0,1066.0,1527.0,11.0,8.0,140.0,115.0,4.9,5.6,111,2607.0,0.0,6.0
 Anul 2021, Salaj,213.0,967.0,1475.0,4.0,9.0,192.0,146.0,4.8,4.9,110,2643.0,0.0,6.0
 Anul 1992, Sibiu,5256.0,3057.0,2113.0,29.0,11.0,649.0,117.0,5.5,10.3,544,6939.0,6.0,8.0
 Anul 1993, Sibiu,1815.0,2832.0,1955.0,32.0,11.0,595.0,144.0,7.9,12.1,537,7064.0,6.0,8.0
 Anul 1994, Sibiu,1183.0,2731.0,1953.0,12.0,17.0,818.0,176.0,10.8,14.4,539,7030.0,10.0,8.0
 Anul 1995, Sibiu,1597.0,2605.0,1910.0,20.0,11.0,784.0,137.0,8.6,10.8,545,7193.0,10.0,8.0
 Anul 1996, Sibiu,1199.0,2559.0,1776.0,18.0,9.0,755.0,162.0,5.5,8.7,551,7359.0,1.0,8.0
 Anul 1997, Sibiu,1208.0,2689.0,1859.0,22.0,13.0,799.0,155.0,8.2,8.3,535,7285.0,5.0,8.0
 Anul 1998, Sibiu,745.0,2766.0,1944.0,31.0,9.0,936.0,178.0,11.3,10.2,536,7284.0,17.0,8.0
 Anul 1999, Sibiu,494.0,2787.0,1887.0,17.0,13.0,771.0,142.0,12.4,11.7,472,6815.0,38.0,9.0
 Anul 2000, Sibiu,661.0,2681.0,1921.0,16.0,10.0,729.0,133.0,10.7,9.8,466,6622.0,4.0,10.0
 Anul 2001, Sibiu,284.0,2516.0,1906.0,12.0,10.0,709.0,165.0,8.6,7.9,471,6732.0,5.0,10.0
 Anul 2002, Sibiu,346.0,2483.0,1812.0,20.0,10.0,696.0,165.0,7.2,7.3,469,6501.0,7.0,10.0
 Anul 2003, Sibiu,645.0,2459.0,1933.0,25.0,11.0,742.0,178.0,7.0,7.1,249,6176.0,3.0,10.0
 Anul 2004, Sibiu,720.0,2677.0,1853.0,20.0,15.0,642.0,190.0,6.5,6.1,251,6218.0,4.0,10.0
 Anul 2005, Sibiu,504.0,2813.0,1780.0,19.0,8.0,727.0,168.0,6.5,5.4,188,5914.0,3.0,10.0
 Anul 2006, Sibiu,768.0,2791.0,1726.0,24.0,12.0,593.0,207.0,5.5,4.5,187,5886.0,3.0,9.0
 Anul 2007, Sibiu,413.0,2626.0,1766.0,26.0,13.0,605.0,155.0,3.1,3.2,190,5873.0,6.0,9.0
 Anul 2008, Sibiu,430.0,2963.0,1766.0,17.0,13.0,564.0,152.0,3.1,3.1,182,5907.0,4.0,9.0
 Anul 2009, Sibiu,506.0,3042.0,1843.0,23.0,14.0,513.0,154.0,8.7,7.7,190,5733.0,6.0,10.0
 Anul 2010, Sibiu,315.0,2947.0,1669.0,15.0,13.0,660.0,132.0,6.3,5.1,176,5369.0,1.0,10.0
 Anul 2011, Sibiu,509.0,2663.0,1612.0,8.0,11.0,694.0,178.0,4.4,4.3,172,5346.0,2.0,9.0
 Anul 2012, Sibiu,529.0,2698.0,1747.0,14.0,5.0,627.0,155.0,4.9,4.2,180,5381.0,0.0,10.0
 Anul 2013, Sibiu,509.0,2889.0,1762.0,14.0,11.0,418.0,115.0,5.2,4.3,178,5539.0,1.0,10.0
 Anul 2014, Sibiu,355.0,2833.0,1773.0,15.0,15.0,429.0,135.0,5.1,4.0,179,5404.0,1.0,10.0
 Anul 2015, Sibiu,502.0,2846.0,1786.0,10.0,9.0,536.0,151.0,3.9,3.4,179,5266.0,0.0,10.0
 Anul 2016, Sibiu,705.0,2858.0,1826.0,8.0,10.0,564.0,163.0,3.6,3.0,177,5234.0,0.0,10.0
 Anul 2017, Sibiu,689.0,2951.0,1952.0,5.0,4.0,598.0,206.0,2.5,2.3,178,5239.0,0.0,10.0
 Anul 2018, Sibiu,803.0,2793.0,1840.0,5.0,7.0,539.0,169.0,1.8,1.8,180,5318.0,1.0,10.0
 Anul 2019, Sibiu,728.0,2712.0,1861.0,5.0,7.0,585.0,191.0,1.7,1.9,179,5341.0,1.0,10.0
 Anul 2020, Sibiu,602.0,2491.0,1729.0,3.0,4.0,429.0,125.0,2.5,3.2,176,5407.0,0.0,10.0
 Anul 2021, Sibiu,977.0,2310.0,1754.0,2.0,6.0,488.0,166.0,2.0,2.0,173,5536.0,0.0,12.0
 Anul 1992, Suceava,330.0,3240.0,7571.0,18.0,66.0,541.0,405.0,9.5,11.3,1038,9255.0,4.0,8.0
 Anul 1993, Suceava,164.0,2905.0,7257.0,26.0,62.0,538.0,393.0,11.0,13.6,1035,8968.0,4.0,8.0
 Anul 1994, Suceava,191.0,2826.0,7364.0,24.0,70.0,633.0,504.0,12.8,14.2,1036,9365.0,0.0,8.0
 Anul 1995, Suceava,344.0,2619.0,7060.0,26.0,80.0,578.0,505.0,10.6,13.4,1051,9576.0,0.0,9.0
 Anul 1996, Suceava,305.0,2564.0,7038.0,24.0,64.0,713.0,624.0,9.8,12.4,1044,9919.0,0.0,9.0
 Anul 1997, Suceava,321.0,2581.0,7209.0,22.0,58.0,713.0,539.0,12.1,12.7,1047,10084.0,0.0,9.0
